id,Volume,Good Type,Business Type,Start Business ID,End Business ID,Distance,Price
140,1,1,1,19,7,27009.08,94
141,1,1,1,27,30,8746.42,44
142,9,5,1,22,4,5989.17,64
143,8,5,1,19,3,12340.00,116
144,16,1,1,32,24,8855.08,78
145,10,1,1,24,25,18153.58,296
146,8,1,3,27,22,13307.08,160
147,5,5,1,32,32,965.50,16
148,10,3,1,19,19,2611.92,70
149,8,1,1,22,18,6189.08,70
150,16,3,1,32,28,11679.58,180
151,8,1,1,25,17,11076.58,115.6
152,10,3,1,32,32,1107.08,33
153,5,1,1,17,9,12343.17,80
154,10,1,1,5,9,5921.25,54
155,8,1,1,25,16,7499.42,144
156,16,1,1,31,31,1388.25,29.6
157,16,1,1,30,22,25110.58,359
158,10,5,1,22,4,6343.25,108
159,10,1,4,22,5,25576.67,170
160,12,5,1,11,7,26450.92,370
161,1,5,1,19,26,2556.08,18
162,12,5,1,32,22,16971.75,266
163,10,1,1,30,24,6127.42,84
164,12,5,1,7,25,9772.08,140
165,10,1,1,22,8,31197.75,240
166,3,3,1,27,27,2713.08,27.8
167,12,5,1,10,17,9953.42,206
168,12,3,1,1,4,13738.17,400
169,12,3,1,25,7,10734.50,198
170,10,3,1,32,4,19188.17,270
171,14,5,1,22,22,1399.17,20
172,12,3,1,1,24,16605.42,210
173,10,1,1,21,30,11926.58,421.2
174,10,1,1,4,9,27094.75,270
175,8,5,1,32,32,1119.33,19
176,12,3,1,22,32,16538.17,176
177,8,1,1,22,18,6589.08,86
178,8,5,1,22,22,282.00,12
179,10,1,1,22,11,18663.33,216
180,12,3,1,32,5,13146.25,162
181,8,1,1,22,24,21860.67,116
182,5,5,1,30,24,7163.17,50
183,8,1,3,3,3,981.92,17
184,1,1,1,17,3,6670.00,20
185,16,1,1,21,30,9298.33,576
186,12,3,1,22,24,20985.00,200
187,1,1,1,22,19,13855.75,68
188,10,1,1,22,16,11903.75,200
189,5,1,1,11,5,2830.83,27
190,12,5,1,24,22,21111.58,360
191,5,1,1,26,27,4807.25,39
192,8,3,1,26,26,268.83,18
193,8,1,1,32,27,3118.17,40
194,8,1,1,22,18,7325.83,143.6
195,5,1,1,3,32,6044.00,46
196,5,1,1,32,32,1445.17,17
197,1,4,1,4,22,8210.50,40
198,1,1,1,22,28,7524.58,44
199,1,3,1,26,30,11711.92,54
200,8,5,1,22,1,8240.50,78
201,9,5,1,19,19,2479.17,40
202,1,5,1,22,22,1647.75,19
203,12,5,1,6,25,8953.08,140
204,8,3,1,22,12,21827.50,230
205,8,5,1,26,20,7493.50,94
206,10,1,3,3,24,6580.33,72
207,12,1,2,1,1,3358.17,18
208,8,1,1,3,19,10540.67,88
209,12,1,1,16,11,25564.83,300
210,12,4,1,5,26,13400.42,164
211,4,1,1,22,28,6879.58,48
212,8,1,1,22,4,10643.75,98
213,10,3,1,19,25,22675.00,332
214,8,5,1,22,17,11701.75,77
215,5,5,1,28,28,2291.00,35.8
216,8,5,1,32,22,16667.17,138
217,10,1,1,24,25,18819.58,350
218,12,3,1,26,3,10080.42,170
219,8,1,1,22,18,7330.83,106
220,5,1,1,25,20,15606.33,72
221,12,3,1,32,28,13854.25,230
222,9,3,1,32,19,3965.75,64
223,8,5,1,19,19,377.92,19.4
224,5,1,1,3,3,2983.17,26
225,0,3,2,32,32,3056.25,30
226,12,3,1,22,25,19802.92,286
227,12,3,1,24,21,18946.50,280
228,12,5,1,10,7,9495.00,196
229,8,5,1,4,22,7283.75,50
230,9,4,1,24,24,3699.00,581.6
231,1,1,1,17,17,1270.83,19
232,10,1,1,5,21,5614.00,60
233,12,5,1,22,5,24620.42,276
234,1,5,1,22,1,9690.83,66
235,12,5,1,22,24,22049.17,200
236,5,5,1,8,8,2277.17,18
237,1,5,1,17,28,3396.75,30
238,5,1,1,26,27,7780.42,40
239,12,3,1,32,32,498.58,28
240,8,5,1,19,19,2507.17,47.2
241,5,1,1,5,8,7364.00,50
242,1,1,1,22,22,694.17,11
243,8,1,1,6,6,2681.67,59.6
244,8,1,1,10,16,4398.83,115
245,10,1,1,19,32,2876.33,52
246,16,3,2,24,28,13444.08,110
247,8,1,1,24,24,4517.17,20
248,5,1,1,19,19,2751.00,30
249,8,1,1,25,25,2870.75,34
250,8,1,1,10,9,10016.42,254
251,17,2,1,25,22,18431.67,210
252,1,5,1,32,26,3416.75,32.6
253,4,2,1,32,19,3786.58,26
254,8,1,1,27,20,5050.67,21
255,12,5,1,6,6,1011.67,40
256,8,1,1,28,28,3495.50,50
257,12,3,1,18,3,26525.33,410
258,5,1,1,19,1,9422.75,64
259,12,5,1,22,26,16089.33,146
260,10,1,1,10,16,6051.50,92
261,16,1,2,19,32,5496.00,19.4
262,5,3,1,32,32,287.00,11
263,5,5,1,19,32,2047.50,20
264,12,5,1,22,15,35577.50,369.4
265,8,1,1,6,6,3184.08,44.2
266,9,1,1,26,6,15129.75,196
267,5,1,1,22,22,1272.58,18
268,12,3,1,3,32,9550.75,70
269,10,3,1,32,32,2120.33,32
270,5,1,1,1,22,7173.92,66
271,16,5,1,15,5,10852.67,86
272,5,1,1,25,25,2240.08,30
273,2,3,1,19,32,2998.83,28
274,8,1,1,30,5,1746.25,22
275,8,1,1,22,27,14445.08,120
276,16,1,2,24,25,19500.00,196
277,12,5,1,32,22,16971.75,270
278,1,5,1,7,7,74.42,32
279,16,5,1,27,25,17505.42,247.2
280,12,3,1,24,32,8988.33,154
281,8,1,1,24,28,19350.50,170
282,5,5,1,22,19,12825.33,60
283,12,3,1,22,26,16680.92,170
284,12,3,1,25,7,10498.50,210.8
285,10,1,1,3,24,4502.83,77
286,5,5,1,22,17,11137.42,74
287,8,5,1,18,12,27677.58,490
288,8,1,1,22,18,7593.75,148
289,1,1,2,32,10,17826.42,32
290,8,1,1,19,4,16848.25,180
291,10,2,2,10,26,17967.33,105
292,8,1,1,26,25,22144.00,228
293,5,5,1,5,28,16305.33,130
294,8,1,1,1,4,11996.92,251
295,5,1,1,1,5,21068.25,90
296,8,1,1,24,32,4704.33,52
297,8,1,1,25,24,19655.25,104
298,5,1,1,10,25,8507.83,98
299,12,5,1,26,25,22340.83,580
300,5,1,1,26,27,4054.75,32
301,14,5,1,5,10,19973.42,170
302,10,5,3,3,24,7342.25,92
303,11,5,1,17,20,4509.67,72
304,8,1,1,26,22,15256.08,155.4
305,8,1,1,17,3,5896.75,46
306,12,3,1,11,15,11566.83,202
307,12,5,1,24,22,20289.25,260
308,1,1,1,11,11,1968.92,18
309,16,1,1,27,22,12246.58,220
310,12,3,1,16,19,18950.58,240
311,16,3,1,28,7,16405.08,300
312,17,5,1,25,7,9730.83,140
313,8,1,1,3,24,2383.33,24
314,10,1,1,25,25,5949.08,88
315,10,3,1,27,32,2841.92,36
316,8,3,1,32,32,1994.00,19
317,10,1,1,19,17,10773.75,118
318,5,1,1,22,3,15199.50,108
319,10,5,1,26,19,1839.67,34
320,10,1,1,19,5,15388.58,110
321,8,5,1,19,24,11855.50,82
322,12,3,1,22,6,18158.50,243
323,8,5,1,32,19,2514.58,50
324,8,5,1,1,22,7227.17,82
325,8,5,1,15,8,4077.50,24
326,8,1,2,19,32,9516.17,30
327,12,3,1,6,26,15045.67,194
328,2,5,1,30,32,11491.17,38
329,12,1,1,28,17,4185.92,48
330,9,5,1,27,32,5282.33,72
331,8,1,1,11,28,15674.75,200
332,8,5,1,27,22,14290.00,112
333,5,1,1,22,7,15747.33,112
334,16,3,1,32,22,16755.83,57.8
335,10,1,1,9,11,7422.83,222.6
336,5,1,1,11,5,2343.75,28
337,1,5,1,17,3,4993.67,35
338,10,1,1,21,30,11926.58,421.2
339,10,1,1,6,9,3884.75,78
340,10,1,1,10,16,4023.00,140
341,5,1,1,20,22,10678.50,93
342,16,1,1,32,26,3850.42,50
343,1,1,1,5,19,13755.42,68
344,12,3,1,6,7,17462.17,316
345,1,1,1,30,15,11733.75,30
346,12,5,1,25,15,32950.33,480
347,12,3,1,1,30,19309.17,280
348,8,1,1,25,7,9730.83,120
349,10,2,1,32,26,1028.08,79.8
350,1,5,1,26,32,4667.92,28
351,8,1,3,20,32,11055.50,136
352,10,1,1,32,20,8006.42,122
353,16,1,1,26,25,19815.67,332
354,8,1,1,22,25,17564.50,196
355,5,1,1,32,24,9425.00,55.8
356,5,1,1,9,30,5544.25,48
357,5,1,1,13,8,17270.58,124
358,12,3,1,6,3,5662.67,98
359,5,1,1,30,5,1326.92,16
360,2,1,1,19,32,5908.33,42
361,12,5,1,22,5,24708.75,220
362,8,1,1,24,24,4542.67,32
363,12,3,1,12,12,5385.25,102
364,12,3,1,22,19,15151.58,160
365,12,3,1,26,24,10555.58,124
366,12,3,1,1,11,18909.08,200
367,10,1,1,25,22,18636.33,226
368,14,5,1,22,17,11654.75,74
369,12,3,1,1,1,2478.17,70
370,8,1,1,32,24,8984.83,64
371,1,1,1,22,22,5198.42,56
372,12,3,1,26,16,20263.58,66
373,8,1,1,17,24,6940.92,64
374,8,5,1,7,7,74.42,118.4
375,10,1,1,32,21,18555.50,224
376,12,5,1,25,22,18511.42,280
377,5,1,1,16,11,21884.83,110
378,6,2,1,32,32,3110.25,18
379,1,1,1,19,19,2371.75,20
380,8,5,1,32,17,9199.25,110
381,16,3,1,32,32,1709.17,44
382,5,1,1,17,17,1131.50,28
383,12,5,1,19,22,13885.17,202.8
384,8,1,1,24,19,13610.67,100
385,11,4,1,22,9,21287.83,336
386,1,5,1,22,22,1528.58,18
387,17,1,1,22,24,19794.42,180
388,12,3,1,11,25,19723.67,360
389,9,5,1,17,16,11227.67,236
390,5,1,1,7,7,5758.67,72
391,10,1,1,22,22,894.58,50
392,5,1,1,17,28,4360.83,52
393,10,1,2,24,17,8934.67,48
394,0,1,2,17,7,16814.50,70
395,8,5,1,22,24,20463.42,142
396,8,1,1,24,26,8440.42,114
397,6,2,1,32,32,2505.00,24
398,5,5,1,27,19,6333.25,30
399,1,5,1,22,22,4086.00,28
400,8,1,1,25,7,9730.83,100
401,12,3,1,32,27,5275.00,90
402,12,3,1,22,1,8321.58,152
403,8,1,1,32,17,8412.58,96
404,16,1,1,26,32,2476.83,38
405,5,1,1,22,32,16954.17,82
406,8,3,1,32,28,13420.67,170
407,8,1,1,22,27,15580.42,170
408,12,5,1,32,22,15656.50,256
409,12,3,1,11,19,14854.08,200
410,8,1,1,17,17,384.00,24
411,8,1,1,28,17,4185.92,36
412,14,1,1,17,22,10653.08,70
413,8,1,1,32,5,7740.83,80
414,8,1,1,18,9,25841.75,160
415,10,1,1,32,27,4509.00,76
416,6,3,1,32,26,3125.25,26
417,1,3,1,26,32,3868.50,20
418,16,1,1,21,25,17111.67,62.4
419,8,5,1,22,22,949.92,23
420,10,3,1,25,25,3666.33,607.2
421,2,5,1,5,12,12824.08,85.8
422,8,1,1,22,1,6676.75,96
423,14,1,1,32,26,3293.25,32
424,8,1,1,19,5,14588.42,116
425,14,5,1,26,20,8306.67,90
426,8,1,1,32,32,3294.67,44
427,14,5,1,26,10,16470.58,147
428,8,1,1,24,30,3571.00,40
429,10,1,2,32,29,40426.83,518
430,12,3,1,1,5,22331.42,260
431,5,3,2,32,32,1660.58,13
432,8,1,1,32,3,8237.50,84
433,8,5,1,22,12,32328.25,190
434,1,1,1,30,17,12677.92,60
435,17,4,1,5,4,26004.67,344
436,10,1,1,20,20,2322.83,50
437,8,1,1,22,23,49920.83,250
438,10,1,1,5,8,8129.75,120
439,10,1,1,32,32,4199.58,60
440,12,3,1,22,18,6172.42,290
441,4,1,1,20,22,5120.83,40
442,1,1,1,17,3,2338.25,20
443,16,1,1,11,7,34251.00,560
444,5,1,1,22,11,23068.50,158
445,8,5,1,1,32,12229.92,100
446,5,1,1,22,16,12534.25,100
447,10,1,1,5,23,44123.42,480
448,8,1,1,1,22,9379.00,110
449,10,1,1,26,1,10939.83,189.6
450,12,3,1,17,1,15519.42,242
451,8,1,1,5,24,4637.33,44
452,8,4,1,22,32,14918.83,110
453,8,1,3,21,3,10676.00,130
454,5,1,1,17,28,2291.08,42
455,10,1,1,26,15,21923.92,260
456,8,1,1,20,32,11027.50,122
457,5,1,1,22,22,3545.33,26
458,8,5,1,10,7,9495.00,112
459,14,5,1,32,19,3613.67,34
460,5,1,1,32,32,2761.25,30
461,12,5,1,1,17,11566.33,201.8
462,8,1,1,32,4,18294.58,202
463,12,3,1,22,30,24161.75,270
464,12,3,1,25,32,19163.67,266
465,1,5,1,22,1,8518.83,54
466,8,5,1,22,22,1365.17,29.6
467,8,1,1,6,6,3184.08,98.4
468,7,1,1,22,32,12700.92,130
469,8,1,1,25,25,1161.00,24
470,13,3,1,19,10,18678.92,360
471,12,3,1,22,22,2396.92,74
472,8,5,1,22,22,2501.83,34
473,10,1,1,5,9,5921.25,54
474,5,5,1,22,22,1120.33,20
475,8,1,1,19,19,2678.75,32
476,12,3,1,26,7,25402.08,517.6
477,17,5,1,19,7,23783.75,380
478,10,1,1,32,11,10522.92,130
479,1,1,1,25,7,9740.58,56
480,12,3,1,23,17,49589.58,414
481,8,1,1,17,23,37448.67,190
482,17,5,1,6,12,7421.25,120
483,8,1,2,11,3,9123.75,15
484,5,5,1,25,17,13377.33,80
485,4,1,1,22,22,871.83,18
486,5,5,1,22,26,15891.17,68.6
487,1,1,1,22,19,12947.58,68.4
488,8,1,3,3,3,981.92,17
489,5,1,1,22,8,33871.00,190
490,5,1,1,7,7,6070.17,72
491,5,1,1,25,25,2918.58,26
492,1,5,1,17,17,2876.58,32
493,5,1,1,32,5,13700.83,76
494,10,1,1,7,7,3572.08,108
495,12,5,1,3,26,10411.75,20
496,10,1,1,16,4,6493.92,160
497,5,1,1,25,10,2651.08,32
498,4,1,2,20,20,3321.67,32
499,10,1,1,12,25,12841.42,140.2
500,16,3,1,26,12,27917.50,340
501,5,1,1,20,27,5473.50,30
502,8,5,1,32,32,3026.17,30
503,3,1,1,22,22,3897.75,50
504,10,1,1,3,11,10492.00,94.4
505,11,1,1,1,32,11726.92,140
506,10,3,1,31,11,17267.08,561.8
507,5,1,1,32,26,3140.17,20
508,1,5,1,19,11,15273.08,72
509,0,1,2,22,4,6865.17,60
510,10,3,1,32,32,2665.25,36
511,9,4,1,24,24,3699.00,1193
512,10,1,1,32,11,10993.42,116
513,12,3,1,6,24,9080.42,116
514,10,1,2,25,22,16755.50,154.8
515,5,1,1,22,22,1137.00,20
516,15,3,1,20,20,2246.50,18
517,8,5,1,4,22,7283.75,56
518,8,1,1,22,22,3751.17,64
519,1,1,2,25,24,19824.58,21
520,1,3,1,32,22,14742.33,92
521,10,1,1,21,19,25436.17,307
522,10,1,1,19,22,11677.00,183
523,10,1,1,22,20,5904.50,76.8
524,5,1,1,22,17,11137.42,56
525,12,3,1,1,4,13738.17,400
526,8,5,1,16,1,17131.75,117
527,6,2,1,32,32,1723.83,16
528,11,5,1,26,5,14001.00,200
529,12,3,1,22,25,20885.08,400
530,8,1,1,1,30,21650.08,216
531,12,3,1,26,3,10080.42,170
532,8,5,1,19,19,377.92,19.4
533,5,1,1,24,24,3540.58,44
534,8,5,1,10,25,3532.75,33.2
535,8,1,1,24,8,10599.42,146
536,1,1,1,4,4,1601.17,16
537,1,1,1,17,17,5930.67,46
538,11,3,1,27,32,3489.17,50
539,5,5,2,18,22,9989.75,40
540,10,1,1,5,9,5921.25,54
541,12,3,1,16,25,6462.00,80
542,8,1,1,28,17,4185.92,58
543,1,5,1,22,17,12053.00,69
544,10,1,1,1,8,28817.50,300
545,8,1,1,32,11,10703.33,72
546,11,5,1,24,5,8234.50,130
547,8,1,1,22,6,20091.25,196
548,12,3,1,9,4,24204.08,380
549,10,1,1,22,17,10528.00,118
550,9,1,1,26,24,9627.17,30
551,8,3,2,24,8,9128.50,12.4
552,1,5,1,19,32,4755.92,27
553,6,1,1,3,3,1218.00,15
554,10,1,1,17,17,4253.42,40
555,10,1,1,22,32,16482.08,186
556,12,3,1,1,23,48157.83,800
557,1,1,1,32,26,2924.67,22
558,14,5,1,19,26,2502.50,30
559,8,1,1,3,27,6872.08,114
560,12,3,1,26,15,26172.83,348
561,1,5,1,17,26,9664.50,38
562,11,3,1,19,16,18156.00,270
563,8,1,1,6,6,4703.92,90
564,4,2,1,32,32,1844.92,24
565,2,5,1,8,8,943.42,12
566,8,3,1,26,32,3000.67,34
567,8,1,1,19,26,1845.00,31
568,12,5,1,17,10,9462.08,240
569,11,5,1,17,20,4509.67,72
570,12,3,1,22,22,780.67,58.8
571,12,3,1,24,1,18976.67,320
572,8,5,1,19,32,3676.08,47
573,8,5,1,19,19,2658.75,36
574,5,1,1,1,22,3900.17,40
575,8,1,1,32,22,16656.58,140
576,1,1,1,17,26,9180.67,46
577,8,1,2,6,7,17869.33,34
578,8,1,1,22,18,9276.33,152
579,10,1,1,22,26,16961.08,146
580,5,5,1,22,18,6180.92,58
581,4,2,1,32,32,2860.00,20
582,12,3,1,22,26,16272.92,164
583,12,1,1,22,28,8410.67,183
584,1,5,1,11,5,775.50,10.8
585,11,5,1,1,10,19798.17,320
586,16,1,2,24,19,10889.17,42
587,12,5,1,22,10,15029.58,260
588,1,1,1,3,17,6208.92,38
589,8,1,1,25,25,2106.00,36
590,10,3,1,32,32,4479.08,52
591,16,1,1,10,25,3757.00,93.8
592,5,1,1,22,22,1208.75,20
593,4,2,1,32,32,1425.17,18
594,4,1,1,22,16,11633.92,108
595,5,1,1,11,6,9174.75,64
596,1,5,1,24,26,10263.08,20
597,5,1,1,32,24,9018.75,78
598,2,5,1,8,25,28417.58,210
599,8,5,1,22,22,935.58,22
600,10,5,1,32,6,14396.75,182
601,5,1,1,25,23,29462.08,166
602,5,1,1,19,24,10138.08,76
603,5,1,1,6,6,3364.42,44
604,8,5,1,26,17,9267.33,90
605,5,1,1,22,5,25470.42,106
606,12,3,1,32,23,50132.25,660
607,16,1,4,21,26,21476.17,256
608,12,3,1,6,21,9598.75,132
609,5,1,1,24,30,5836.75,47
610,12,3,1,17,26,9183.92,106
611,12,3,1,22,28,6868.67,142
612,16,5,1,17,26,9358.67,80
613,8,1,1,25,17,14774.17,104
614,8,5,1,32,32,1179.83,22
615,10,1,1,32,28,11740.58,176
616,8,3,1,24,19,7130.50,52
617,2,5,1,19,20,6560.42,61
618,5,1,1,32,25,21738.42,22
619,17,1,1,22,5,23532.33,228
620,10,1,1,25,23,33034.58,400
621,16,3,2,24,17,14608.83,90
622,5,1,1,32,32,1989.83,16
623,8,1,1,28,28,824.33,22
624,10,1,2,30,5,1247.92,140
625,5,1,1,32,10,18600.58,141.6
626,8,3,1,25,32,20585.83,154
627,8,5,1,19,11,16368.83,116
628,5,1,1,19,26,5705.25,18
629,8,1,1,25,16,7465.75,114
630,1,3,1,21,21,6554.33,34
631,10,3,1,27,32,2379.58,36
632,8,1,1,24,5,4571.83,40
633,1,1,1,5,27,8655.83,46
634,8,1,1,32,30,10773.75,60
635,8,1,1,5,28,17586.92,166
636,10,1,1,22,20,11178.83,140
637,16,1,2,11,26,17214.33,229.6
638,8,5,1,1,20,6963.00,79
639,5,1,1,25,22,18803.50,180
640,8,1,1,6,6,4703.92,66
641,1,1,1,25,5,19828.00,120
642,5,1,1,22,32,17247.08,66
643,12,3,1,17,3,5426.67,88
644,12,3,1,1,24,15976.75,210
645,8,1,1,16,16,1551.67,100
646,5,1,1,28,28,3074.25,40
647,5,1,1,24,32,4364.08,36
648,8,5,2,6,27,7987.25,29.8
649,8,1,1,19,24,7383.17,48
650,9,5,1,22,11,20838.33,148
651,16,1,1,11,18,31896.83,576
652,5,1,1,32,26,3138.00,28
653,8,1,1,24,24,3063.17,40
654,12,3,1,22,25,19501.33,306
655,8,1,3,32,10,16858.08,212
656,12,3,1,16,5,23767.50,494
657,16,1,1,1,17,6853.92,146.4
658,10,3,1,15,30,11277.67,120
659,5,1,1,22,32,15975.75,80
660,1,5,1,5,24,4538.58,20
661,5,1,1,17,32,7437.92,46
662,5,1,1,25,6,9585.17,57.8
663,1,5,1,19,19,2445.33,36
664,8,1,2,22,27,13121.58,14
665,16,1,1,26,4,21257.33,320
666,1,1,1,19,32,5156.17,16
667,8,5,1,20,28,4005.67,70.4
668,9,5,1,1,3,16484.50,190
669,8,1,1,19,26,2139.50,34
670,8,1,1,22,22,8195.08,120
671,8,1,1,32,22,18053.33,144
672,1,5,1,5,11,3298.50,17.8
673,8,1,1,22,18,6229.67,140
674,5,1,1,27,17,4244.92,50
675,10,1,1,24,25,18819.58,348
676,5,1,1,30,22,23035.00,72
677,9,4,1,22,32,18561.75,150
678,10,1,1,5,21,7852.08,82
679,8,1,1,19,19,2988.75,56
680,5,3,1,30,12,15544.17,60
681,16,1,1,11,7,34661.58,400
682,8,1,1,19,22,12598.17,116
683,8,5,1,18,22,6179.83,49
684,8,1,1,27,26,4154.42,50
685,5,1,1,19,19,823.42,13
686,8,1,1,17,3,5984.75,50
687,8,1,1,28,28,496.58,16
688,5,1,1,28,28,433.75,14.2
689,10,3,1,22,11,23537.92,220
690,14,1,1,19,25,22827.67,176
691,5,5,1,22,20,10896.58,62
692,5,1,1,10,10,1351.33,16
693,6,1,1,22,8,33329.17,160
694,10,1,1,32,22,15228.83,194
695,10,1,1,32,22,18151.00,308
696,5,1,1,26,22,16222.25,100
697,12,3,1,25,25,828.67,38
698,8,5,1,16,22,12463.33,80
699,8,1,1,22,25,19698.42,220
700,8,1,1,22,32,18218.08,100
701,6,2,1,32,32,1105.25,22
702,8,5,1,1,1,730.67,22
703,10,3,1,22,32,18125.08,140
704,8,1,1,17,17,384.00,24
705,16,1,1,4,16,10586.50,210
706,5,1,1,32,8,18759.33,150
707,8,1,1,32,8,16864.08,120
708,2,3,1,22,26,16318.67,68
709,16,1,1,1,19,5190.92,72
710,8,1,1,19,20,4909.08,58
711,16,5,1,22,28,8878.08,114
712,8,5,1,22,22,3973.33,58
713,8,1,1,32,16,19537.58,290
714,10,1,1,5,22,24582.75,344
715,12,3,1,22,7,15579.00,252
716,10,1,1,5,23,44123.42,480
717,8,1,1,32,10,17278.83,190
718,5,5,1,1,22,7763.08,66
719,8,5,1,10,5,18643.75,106
720,8,1,2,32,20,8407.42,74
721,5,1,1,18,22,6366.50,34
722,1,3,1,19,19,2000.25,17
723,8,1,1,20,22,10244.92,89
724,5,5,1,19,26,3916.92,22
725,12,3,1,6,23,28379.00,360
726,5,1,1,11,11,1796.75,20
727,8,1,1,22,22,3438.83,56
